"","sample","maxGeneset"
"E124_P2_D11_E124_CD4.CD8._P1P2","E124","predysfunctional3"
"E124_P2_E08_E124_CD4.CD8._P1P2","E124","dysfunctional4"
"E124_P2_F10_E124_CD4.CD8._P1P2","E124","predysfunctional3"
"E124_P2_H05_E124_CD4.CD8._P1P2","E124","predysfunctional3"
"E124_P2_H08_E124_CD4.CD8._P1P2","E124","cytotoxic1"
"MGH209_P1_B07","MGH209","predysfunctional3"
"MGH209_P2_F08","MGH209","cytotoxic1"
"MGH209_P1_D12","MGH209","cytotoxic1"
"E_42_P5_B06_E42_CD4.CD8._P3P4P5P6","E42","cytotoxic1"
"E_42_P5_G04_E42_CD4.CD8._P3P4P5P6","E42","cytotoxic1"
"MGH120_P11_D12","MGH120","cytotoxic1"
"MGH123_P4_C09","MGH123","naive2"
"MGH200_P2_G02","MGH200","cytotoxic1"
"MGH201_P4_E05","MGH201","dysfunctional4"
"MGH204_P3_H03","MGH204","cytotoxic1"
"MGH206_P4_C09","MGH206","cytotoxic1"
"MGH209_P3_A06","MGH209","dysfunctional4"
"MGH225_P5_A07","MGH225","cytotoxic1"
"E60_P2_B11_E48.2_CD4.CD8._P1P2","E48.2","cytotoxic1"
"MGH225_P5_F06","MGH225","cytotoxic1"
"MGH209_P3_B11","MGH209","naive2"
"MGH225_P6_E01","MGH225","cytotoxic1"
"MGH204_P4_F11","MGH204","cytotoxic1"
"E60_P1_F04_E48.2_CD4.CD8._P1P2","E48.2","predysfunctional3"
"E60_P2_D09_E48.2_CD4.CD8._P1P2","E48.2","predysfunctional3"
"MGH120_P10_G04","MGH120","cytotoxic1"
"MGH225_P8_F11","MGH225","cytotoxic1"
"MGH123_P1_D05","MGH123","dysfunctional4"
"MGH123_P2_H05","MGH123","cytotoxic1"
"MGH123_P3_F03","MGH123","naive2"
"MGH201_P5_B11","MGH201","cytotoxic1"
"MGH202_P12_G04","MGH202","predysfunctional3"
"MGH204_P3_A08","MGH204","predysfunctional3"
"MGH206_P1_D05","MGH206","predysfunctional3"
"MGH206_P5_D10","MGH206","naive2"
"MGH207_P1_B11","MGH207","cytotoxic1"
"MGH207_P5_G11","MGH207","predysfunctional3"
"MGH209_P4_C06","MGH209","cytotoxic1"
"MGH209_P4_D06","MGH209","predysfunctional3"
"MGH225_P5_B10","MGH225","predysfunctional3"
"MGH225_P5_G03","MGH225","predysfunctional3"
"MGH225_P4_F06","MGH225","cytotoxic1"
"MGH225_P8_H05","MGH225","predysfunctional3"
"E_42_P3_C11_E42_CD4.CD8._P3P4P5P6","E42","cytotoxic1"
"E_42_P3_G08_E42_CD4.CD8._P3P4P5P6","E42","cytotoxic1"
"E_42_P4_G10_E42_CD4.CD8._P3P4P5P6","E42","dysfunctional4"
"E_42_P5_E07_E42_CD4.CD8._P3P4P5P6","E42","predysfunctional3"
"E_42_P6_D11_E42_CD4.CD8._P3P4P5P6","E42","cytotoxic1"
"E_42_P6_G03_E42_CD4.CD8._P3P4P5P6","E42","cytotoxic1"
"E60_P1_G06_E48.2_CD4.CD8._P1P2","E48.2","cytotoxic1"
"E60_P2_E03_E48.2_CD4.CD8._P1P2","E48.2","predysfunctional3"
"E124_P2_E02_E124_CD4.CD8._P1P2","E124","predysfunctional3"
"MGH202_P11_H12","MGH202","cytotoxic1"
"MGH225_P2_F05","MGH225","dysfunctional4"
"E124_P1_E02_E124_CD4.CD8._P1P2","E124","cytotoxic1"
"MGH206_P1_G01","MGH206","naive2"
"MGH225_P2_E04","MGH225","predysfunctional3"
"MGH202_P11_D12","MGH202","cytotoxic1"
"E60_P2_C02_E48.2_CD4.CD8._P1P2","E48.2","cytotoxic1"
"E60_P2_F08_E48.2_CD4.CD8._P1P2","E48.2","dysfunctional4"
"MGH202_P10_C04","MGH202","predysfunctional3"
"E60_P2_G10_E48.2_CD4.CD8._P1P2","E48.2","predysfunctional3"
"MGH123_P4_E11","MGH123","cytotoxic1"
"MGH201_P4_B11","MGH201","predysfunctional3"
"MGH202_P10_A11","MGH202","predysfunctional3"
"MGH202_P13_F07","MGH202","cytotoxic1"
"MGH207_P2_E07","MGH207","predysfunctional3"
"MGH225_P1_B11","MGH225","predysfunctional3"
"E60_P1_C08_E48.2_CD4.CD8._P1P2","E48.2","cytotoxic1"
"MGH225_P2_F09","MGH225","predysfunctional3"
"MGH206_P4_B02","MGH206","predysfunctional3"
"MGH120_P10_G11","MGH120","dysfunctional4"
"E124_P1_B08_E124_CD4.CD8._P1P2","E124","naive2"
"MGH135_P15_B06","MGH135","cytotoxic1"
"MGH123_P3_F08","MGH123","naive2"
"MGH201_P5_G09","MGH201","predysfunctional3"
"E48_P2_E08_E48.1_CD4.CD8._P1P2P3P4","E48.1","predysfunctional3"
"MGH204_P3_G08","MGH204","dysfunctional4"
"MGH206_P5_E06","MGH206","predysfunctional3"
"MGH207_P4_C02","MGH207","cytotoxic1"
"MGH207_P5_G07","MGH207","predysfunctional3"
"MGH209_P1_B04","MGH209","cytotoxic1"
"E124_P1_A11_E124_CD4.CD8._P1P2","E124","cytotoxic1"
"MGH120_P10_D04","MGH120","cytotoxic1"
"MGH120_P10_E04","MGH120","predysfunctional3"
"MGH123_P2_D05","MGH123","naive2"
"MGH123_P2_F09","MGH123","naive2"
"MGH123_P2_H08","MGH123","predysfunctional3"
"MGH123_P3_A08","MGH123","dysfunctional4"
"MGH123_P3_D08","MGH123","dysfunctional4"
"MGH123_P4_F08","MGH123","cytotoxic1"
"MGH123_P4_H10","MGH123","cytotoxic1"
"MGH135_P14_A12","MGH135","naive2"
"MGH135_P14_G01","MGH135","predysfunctional3"
"MGH135_P15_A09","MGH135","cytotoxic1"
"MGH135_P15_B04","MGH135","predysfunctional3"
"MGH135_P16_C10","MGH135","cytotoxic1"
"MGH135_P16_D06","MGH135","naive2"
"MGH135_P16_D10","MGH135","predysfunctional3"
"MGH135_P16_H03","MGH135","predysfunctional3"
"MGH135_P17_C02","MGH135","predysfunctional3"
"MGH135_P17_D03","MGH135","naive2"
"MGH135_P17_D09","MGH135","cytotoxic1"
"MGH135_P17_G06","MGH135","naive2"
"MGH135_P17_G11","MGH135","predysfunctional3"
"MGH200_P1_B12","MGH200","predysfunctional3"
"MGH200_P1_C07","MGH200","predysfunctional3"
"MGH200_P2_A11","MGH200","cytotoxic1"
"MGH200_P3_A01","MGH200","predysfunctional3"
"MGH200_P3_B06","MGH200","predysfunctional3"
"MGH200_P3_F01","MGH200","predysfunctional3"
"MGH201_P6_A01","MGH201","predysfunctional3"
"MGH201_P6_A02","MGH201","cytotoxic1"
"MGH201_P6_A06","MGH201","cytotoxic1"
"MGH201_P6_A09","MGH201","predysfunctional3"
"MGH201_P6_B01","MGH201","predysfunctional3"
"MGH201_P6_B05","MGH201","predysfunctional3"
"MGH201_P6_B06","MGH201","predysfunctional3"
"MGH201_P6_C02","MGH201","predysfunctional3"
"MGH201_P6_C05","MGH201","predysfunctional3"
"MGH201_P6_C08","MGH201","predysfunctional3"
"MGH201_P6_D12","MGH201","cytotoxic1"
"MGH201_P6_E05","MGH201","predysfunctional3"
"MGH201_P6_E12","MGH201","cytotoxic1"
"MGH201_P6_G03","MGH201","predysfunctional3"
"MGH201_P6_G05","MGH201","naive2"
"MGH201_P6_G06","MGH201","cytotoxic1"
"MGH201_P6_G12","MGH201","predysfunctional3"
"MGH201_P6_H05","MGH201","predysfunctional3"
"MGH201_P6_H07","MGH201","predysfunctional3"
"MGH201_P6_H09","MGH201","naive2"
"MGH201_P6_H11","MGH201","predysfunctional3"
"MGH201_P7_A05","MGH201","naive2"
"MGH201_P7_A07","MGH201","predysfunctional3"
"MGH201_P7_A08","MGH201","predysfunctional3"
"MGH201_P7_B01","MGH201","predysfunctional3"
"MGH201_P7_B05","MGH201","cytotoxic1"
"MGH201_P7_B12","MGH201","predysfunctional3"
"MGH201_P7_C05","MGH201","predysfunctional3"
"MGH201_P7_C06","MGH201","predysfunctional3"
"MGH201_P7_C11","MGH201","predysfunctional3"
"MGH201_P7_D04","MGH201","cytotoxic1"
"MGH201_P7_D10","MGH201","predysfunctional3"
"MGH201_P7_E01","MGH201","cytotoxic1"
"MGH201_P7_E04","MGH201","predysfunctional3"
"MGH201_P7_F02","MGH201","predysfunctional3"
"MGH201_P7_F03","MGH201","cytotoxic1"
"MGH201_P7_G02","MGH201","predysfunctional3"
"MGH201_P7_G06","MGH201","predysfunctional3"
"MGH201_P7_H01","MGH201","predysfunctional3"
"MGH201_P7_H02","MGH201","cytotoxic1"
"MGH201_P7_H04","MGH201","naive2"
"MGH201_P7_H05","MGH201","predysfunctional3"
"MGH201_P7_H09","MGH201","predysfunctional3"
"MGH201_P7_H11","MGH201","predysfunctional3"
"MGH201_P4_A04","MGH201","predysfunctional3"
"MGH201_P4_A05","MGH201","predysfunctional3"
"MGH201_P4_A07","MGH201","predysfunctional3"
"MGH201_P4_A09","MGH201","naive2"
"MGH201_P4_B01","MGH201","cytotoxic1"
"MGH201_P4_B02","MGH201","predysfunctional3"
"MGH201_P4_B03","MGH201","predysfunctional3"
"MGH201_P4_B05","MGH201","predysfunctional3"
"MGH201_P4_B08","MGH201","cytotoxic1"
"MGH201_P4_B09","MGH201","predysfunctional3"
"MGH201_P4_C03","MGH201","cytotoxic1"
"MGH201_P4_C04","MGH201","predysfunctional3"
"MGH201_P4_C05","MGH201","predysfunctional3"
"MGH201_P4_C10","MGH201","predysfunctional3"
"MGH201_P4_C11","MGH201","predysfunctional3"
"MGH201_P4_D03","MGH201","predysfunctional3"
"MGH201_P4_D04","MGH201","cytotoxic1"
"MGH201_P4_D08","MGH201","predysfunctional3"
"MGH201_P4_D11","MGH201","predysfunctional3"
"MGH201_P4_E06","MGH201","predysfunctional3"
"MGH201_P4_E09","MGH201","predysfunctional3"
"MGH201_P4_F02","MGH201","predysfunctional3"
"MGH201_P4_F03","MGH201","predysfunctional3"
"MGH201_P4_F04","MGH201","cytotoxic1"
"MGH201_P4_F08","MGH201","predysfunctional3"
"MGH201_P4_G04","MGH201","cytotoxic1"
"MGH201_P5_A02","MGH201","predysfunctional3"
"MGH201_P5_A10","MGH201","cytotoxic1"
"MGH201_P5_A11","MGH201","predysfunctional3"
"MGH201_P5_B01","MGH201","cytotoxic1"
"MGH201_P5_B02","MGH201","cytotoxic1"
"MGH201_P5_C04","MGH201","predysfunctional3"
"MGH201_P5_C07","MGH201","cytotoxic1"
"MGH201_P5_D12","MGH201","predysfunctional3"
"MGH201_P5_E03","MGH201","cytotoxic1"
"MGH201_P5_E11","MGH201","cytotoxic1"
"MGH201_P5_E12","MGH201","predysfunctional3"
"MGH201_P5_F02","MGH201","cytotoxic1"
"MGH201_P5_F05","MGH201","predysfunctional3"
"MGH201_P5_F06","MGH201","cytotoxic1"
"MGH201_P5_F08","MGH201","cytotoxic1"
"MGH201_P5_F09","MGH201","predysfunctional3"
"MGH201_P5_G03","MGH201","predysfunctional3"
"MGH201_P5_G04","MGH201","cytotoxic1"
"MGH201_P5_G08","MGH201","cytotoxic1"
"MGH201_P5_G11","MGH201","predysfunctional3"
"MGH201_P5_H01","MGH201","predysfunctional3"
"MGH201_P5_H10","MGH201","predysfunctional3"
"MGH201_P5_H12","MGH201","predysfunctional3"
"MGH202_P10_B05","MGH202","predysfunctional3"
"MGH202_P10_C08","MGH202","cytotoxic1"
"MGH202_P10_C09","MGH202","cytotoxic1"
"MGH202_P10_D02","MGH202","naive2"
"MGH202_P10_D07","MGH202","cytotoxic1"
"MGH202_P10_F08","MGH202","predysfunctional3"
"MGH202_P10_F09","MGH202","cytotoxic1"
"MGH202_P10_G10","MGH202","predysfunctional3"
"MGH202_P10_H02","MGH202","cytotoxic1"
"MGH202_P10_H09","MGH202","cytotoxic1"
"MGH202_P11_B11","MGH202","dysfunctional4"
"MGH202_P11_C02","MGH202","predysfunctional3"
"MGH202_P11_C05","MGH202","predysfunctional3"
"MGH202_P11_C09","MGH202","cytotoxic1"
"MGH202_P11_C12","MGH202","predysfunctional3"
"MGH202_P11_E01","MGH202","predysfunctional3"
"MGH202_P11_E04","MGH202","cytotoxic1"
"MGH202_P11_F03","MGH202","predysfunctional3"
"MGH202_P11_G01","MGH202","predysfunctional3"
"MGH202_P11_G03","MGH202","predysfunctional3"
"MGH202_P11_H10","MGH202","predysfunctional3"
"MGH202_P12_A09","MGH202","cytotoxic1"
"MGH202_P12_B02","MGH202","dysfunctional4"
"MGH202_P12_C01","MGH202","predysfunctional3"
"MGH202_P12_C05","MGH202","cytotoxic1"
"MGH202_P12_D03","MGH202","predysfunctional3"
"MGH202_P12_D09","MGH202","predysfunctional3"
"MGH202_P12_F01","MGH202","cytotoxic1"
"MGH202_P12_F04","MGH202","predysfunctional3"
"MGH202_P12_F08","MGH202","cytotoxic1"
"MGH202_P12_G10","MGH202","predysfunctional3"
"MGH202_P12_G12","MGH202","cytotoxic1"
"MGH202_P13_A12","MGH202","cytotoxic1"
"MGH202_P13_D01","MGH202","cytotoxic1"
"MGH202_P13_D09","MGH202","cytotoxic1"
"MGH202_P13_E07","MGH202","dysfunctional4"
"MGH202_P13_F08","MGH202","dysfunctional4"
"MGH202_P13_F12","MGH202","cytotoxic1"
"MGH202_P13_G04","MGH202","cytotoxic1"
"MGH202_P13_H10","MGH202","cytotoxic1"
"MGH202_P13_H11","MGH202","predysfunctional3"
"MGH202_P14_A10","MGH202","predysfunctional3"
"MGH202_P14_B01","MGH202","predysfunctional3"
"MGH202_P14_B04","MGH202","predysfunctional3"
"MGH202_P14_C02","MGH202","dysfunctional4"
"MGH202_P14_D02","MGH202","cytotoxic1"
"MGH202_P14_D06","MGH202","predysfunctional3"
"MGH202_P14_D07","MGH202","predysfunctional3"
"MGH202_P14_D11","MGH202","cytotoxic1"
"MGH202_P14_E02","MGH202","cytotoxic1"
"MGH202_P14_E09","MGH202","predysfunctional3"
"MGH202_P14_G05","MGH202","cytotoxic1"
"MGH202_P14_G12","MGH202","predysfunctional3"
"MGH202_P14_H01","MGH202","dysfunctional4"
"MGH202_P14_H02","MGH202","predysfunctional3"
"MGH202_P14_H12","MGH202","predysfunctional3"
"MGH204_P5_A04","MGH204","naive2"
"MGH204_P5_C05","MGH204","predysfunctional3"
"MGH204_P5_D01","MGH204","naive2"
"MGH204_P5_D06","MGH204","predysfunctional3"
"MGH204_P5_E10","MGH204","predysfunctional3"
"MGH204_P5_G01","MGH204","cytotoxic1"
"MGH204_P5_G02","MGH204","naive2"
"MGH204_P5_G10","MGH204","predysfunctional3"
"MGH204_P1_A02","MGH204","cytotoxic1"
"MGH204_P1_A09","MGH204","dysfunctional4"
"MGH204_P1_B01","MGH204","predysfunctional3"
"MGH204_P1_F10","MGH204","dysfunctional4"
"MGH204_P1_G05","MGH204","predysfunctional3"
"MGH204_P1_G09","MGH204","dysfunctional4"
"MGH204_P1_G12","MGH204","predysfunctional3"
"MGH204_P2_A02","MGH204","cytotoxic1"
"MGH204_P2_B10","MGH204","naive2"
"MGH204_P2_C09","MGH204","predysfunctional3"
"MGH204_P2_D05","MGH204","predysfunctional3"
"MGH204_P2_H02","MGH204","predysfunctional3"
"MGH204_P3_A11","MGH204","cytotoxic1"
"MGH204_P3_B11","MGH204","predysfunctional3"
"MGH204_P3_C03","MGH204","dysfunctional4"
"MGH204_P3_C08","MGH204","naive2"
"MGH204_P3_D07","MGH204","predysfunctional3"
"MGH204_P3_G09","MGH204","predysfunctional3"
"MGH204_P4_A01","MGH204","predysfunctional3"
"MGH204_P4_A07","MGH204","naive2"
"MGH204_P4_B05","MGH204","predysfunctional3"
"MGH204_P4_B10","MGH204","naive2"
"MGH204_P4_D06","MGH204","predysfunctional3"
"MGH204_P4_D10","MGH204","naive2"
"MGH204_P4_E12","MGH204","naive2"
"MGH204_P4_F01","MGH204","cytotoxic1"
"MGH204_P4_F08","MGH204","predysfunctional3"
"MGH206_P1_A05","MGH206","cytotoxic1"
"MGH206_P1_A09","MGH206","cytotoxic1"
"MGH206_P1_A12","MGH206","cytotoxic1"
"MGH206_P1_B01","MGH206","cytotoxic1"
"MGH206_P1_B04","MGH206","predysfunctional3"
"MGH206_P1_B12","MGH206","predysfunctional3"
"MGH206_P1_C01","MGH206","predysfunctional3"
"MGH206_P1_C07","MGH206","cytotoxic1"
"MGH206_P1_E01","MGH206","naive2"
"MGH206_P1_E06","MGH206","predysfunctional3"
"MGH206_P1_E12","MGH206","cytotoxic1"
"MGH206_P1_F02","MGH206","predysfunctional3"
"MGH206_P1_H01","MGH206","predysfunctional3"
"MGH206_P1_H09","MGH206","cytotoxic1"
"MGH206_P1_H10","MGH206","cytotoxic1"
"MGH206_P2_A01","MGH206","cytotoxic1"
"MGH206_P2_A04","MGH206","cytotoxic1"
"MGH206_P2_B01","MGH206","naive2"
"MGH206_P2_B05","MGH206","predysfunctional3"
"MGH206_P2_B11","MGH206","dysfunctional4"
"MGH206_P2_C06","MGH206","predysfunctional3"
"MGH206_P2_D06","MGH206","predysfunctional3"
"MGH206_P2_E01","MGH206","cytotoxic1"
"MGH206_P2_E05","MGH206","predysfunctional3"
"MGH206_P2_F02","MGH206","cytotoxic1"
"MGH206_P2_G04","MGH206","predysfunctional3"
"MGH206_P2_G09","MGH206","predysfunctional3"
"MGH206_P2_G10","MGH206","cytotoxic1"
"MGH206_P2_H02","MGH206","predysfunctional3"
"MGH206_P2_H04","MGH206","cytotoxic1"
"MGH206_P2_H05","MGH206","cytotoxic1"
"MGH206_P3_A04","MGH206","cytotoxic1"
"MGH206_P3_A12","MGH206","naive2"
"MGH206_P3_B05","MGH206","cytotoxic1"
"MGH206_P3_B08","MGH206","predysfunctional3"
"MGH206_P3_B10","MGH206","predysfunctional3"
"MGH206_P3_D11","MGH206","naive2"
"MGH206_P3_D12","MGH206","predysfunctional3"
"MGH206_P3_E02","MGH206","cytotoxic1"
"MGH206_P3_E06","MGH206","naive2"
"MGH206_P3_F02","MGH206","cytotoxic1"
"MGH206_P3_F04","MGH206","predysfunctional3"
"MGH206_P3_G08","MGH206","predysfunctional3"
"MGH206_P3_G09","MGH206","predysfunctional3"
"MGH206_P3_G11","MGH206","predysfunctional3"
"MGH206_P4_A09","MGH206","predysfunctional3"
"MGH206_P4_A10","MGH206","predysfunctional3"
"MGH206_P4_B05","MGH206","cytotoxic1"
"MGH206_P4_C05","MGH206","naive2"
"MGH206_P4_C12","MGH206","predysfunctional3"
"MGH206_P4_D02","MGH206","cytotoxic1"
"MGH206_P4_D10","MGH206","predysfunctional3"
"MGH206_P4_E03","MGH206","predysfunctional3"
"MGH206_P4_E05","MGH206","predysfunctional3"
"MGH206_P4_E08","MGH206","cytotoxic1"
"MGH206_P4_F05","MGH206","predysfunctional3"
"MGH206_P4_F10","MGH206","naive2"
"MGH206_P4_G06","MGH206","naive2"
"MGH206_P4_G12","MGH206","predysfunctional3"
"MGH206_P5_A09","MGH206","naive2"
"MGH206_P5_A11","MGH206","cytotoxic1"
"MGH206_P5_A12","MGH206","predysfunctional3"
"MGH206_P5_B05","MGH206","predysfunctional3"
"MGH206_P5_C12","MGH206","cytotoxic1"
"MGH206_P5_D11","MGH206","cytotoxic1"
"MGH206_P5_F03","MGH206","predysfunctional3"
"MGH206_P5_G02","MGH206","cytotoxic1"
"MGH206_P5_H04","MGH206","cytotoxic1"
"MGH206_P5_H06","MGH206","predysfunctional3"
"MGH206_P5_H07","MGH206","naive2"
"MGH206_P5_H10","MGH206","cytotoxic1"
"MGH207_P1_B03","MGH207","naive2"
"MGH207_P1_B06","MGH207","predysfunctional3"
"MGH207_P1_B08","MGH207","cytotoxic1"
"MGH207_P1_B10","MGH207","predysfunctional3"
"MGH207_P1_B12","MGH207","predysfunctional3"
"MGH207_P1_C02","MGH207","predysfunctional3"
"MGH207_P1_C06","MGH207","dysfunctional4"
"MGH207_P1_D01","MGH207","predysfunctional3"
"MGH207_P1_D04","MGH207","cytotoxic1"
"MGH207_P1_D07","MGH207","cytotoxic1"
"MGH207_P1_D11","MGH207","predysfunctional3"
"MGH207_P1_E06","MGH207","cytotoxic1"
"MGH207_P1_F11","MGH207","cytotoxic1"
"MGH207_P1_G01","MGH207","predysfunctional3"
"MGH207_P1_G05","MGH207","predysfunctional3"
"MGH207_P1_G06","MGH207","cytotoxic1"
"MGH207_P1_G09","MGH207","cytotoxic1"
"MGH207_P1_H03","MGH207","predysfunctional3"
"MGH207_P1_H08","MGH207","cytotoxic1"
"MGH207_P2_A04","MGH207","predysfunctional3"
"MGH207_P2_A08","MGH207","predysfunctional3"
"MGH207_P2_B04","MGH207","predysfunctional3"
"MGH207_P2_C01","MGH207","cytotoxic1"
"MGH207_P2_C05","MGH207","predysfunctional3"
"MGH207_P2_C06","MGH207","predysfunctional3"
"MGH207_P2_C09","MGH207","cytotoxic1"
"MGH207_P2_C10","MGH207","cytotoxic1"
"MGH207_P2_D01","MGH207","predysfunctional3"
"MGH207_P2_D02","MGH207","cytotoxic1"
"MGH207_P2_D10","MGH207","cytotoxic1"
"MGH207_P2_E02","MGH207","predysfunctional3"
"MGH207_P2_E08","MGH207","cytotoxic1"
"MGH207_P2_E09","MGH207","cytotoxic1"
"MGH207_P2_F03","MGH207","cytotoxic1"
"MGH207_P2_F05","MGH207","predysfunctional3"
"MGH207_P2_F09","MGH207","cytotoxic1"
"MGH207_P2_G09","MGH207","predysfunctional3"
"MGH207_P4_B04","MGH207","predysfunctional3"
"MGH207_P4_C05","MGH207","predysfunctional3"
"MGH207_P4_C07","MGH207","predysfunctional3"
"MGH207_P4_C08","MGH207","cytotoxic1"
"MGH207_P4_C10","MGH207","dysfunctional4"
"MGH207_P4_D01","MGH207","predysfunctional3"
"MGH207_P4_D07","MGH207","cytotoxic1"
"MGH207_P4_D12","MGH207","predysfunctional3"
"MGH207_P4_F07","MGH207","predysfunctional3"
"MGH207_P4_F10","MGH207","predysfunctional3"
"MGH207_P4_H03","MGH207","cytotoxic1"
"MGH207_P4_H11","MGH207","predysfunctional3"
"MGH207_P5_A07","MGH207","predysfunctional3"
"MGH207_P5_B02","MGH207","predysfunctional3"
"MGH207_P5_B05","MGH207","cytotoxic1"
"MGH207_P5_B06","MGH207","cytotoxic1"
"MGH207_P5_B07","MGH207","cytotoxic1"
"MGH207_P5_C10","MGH207","naive2"
"MGH207_P5_D03","MGH207","predysfunctional3"
"MGH207_P5_D06","MGH207","dysfunctional4"
"MGH207_P5_D10","MGH207","predysfunctional3"
"MGH207_P5_E01","MGH207","dysfunctional4"
"MGH207_P5_E05","MGH207","cytotoxic1"
"MGH207_P5_F01","MGH207","predysfunctional3"
"MGH207_P5_F02","MGH207","cytotoxic1"
"MGH207_P5_F07","MGH207","cytotoxic1"
"MGH207_P5_F11","MGH207","predysfunctional3"
"MGH207_P5_F12","MGH207","predysfunctional3"
"MGH207_P5_G03","MGH207","predysfunctional3"
"MGH207_P5_G12","MGH207","cytotoxic1"
"MGH207_P5_H03","MGH207","predysfunctional3"
"MGH207_P5_H07","MGH207","predysfunctional3"
"MGH208_P4_G11","MGH208","cytotoxic1"
"MGH209_P1_B02","MGH209","predysfunctional3"
"MGH209_P1_C01","MGH209","cytotoxic1"
"MGH209_P1_C02","MGH209","predysfunctional3"
"MGH209_P1_C04","MGH209","cytotoxic1"
"MGH209_P1_C08","MGH209","predysfunctional3"
"MGH209_P1_D08","MGH209","predysfunctional3"
"MGH209_P1_E09","MGH209","predysfunctional3"
"MGH209_P1_H11","MGH209","cytotoxic1"
"MGH209_P2_A01","MGH209","predysfunctional3"
"MGH209_P2_A11","MGH209","predysfunctional3"
"MGH209_P2_C02","MGH209","predysfunctional3"
"MGH209_P2_D12","MGH209","cytotoxic1"
"MGH209_P2_E06","MGH209","predysfunctional3"
"MGH209_P3_B08","MGH209","predysfunctional3"
"MGH209_P3_C10","MGH209","predysfunctional3"
"MGH209_P3_F01","MGH209","predysfunctional3"
"MGH209_P3_G11","MGH209","predysfunctional3"
"MGH209_P4_A04","MGH209","naive2"
"MGH209_P4_A09","MGH209","cytotoxic1"
"MGH209_P4_B08","MGH209","predysfunctional3"
"MGH209_P4_C08","MGH209","cytotoxic1"
"MGH209_P4_D11","MGH209","predysfunctional3"
"MGH209_P4_E08","MGH209","cytotoxic1"
"MGH209_P4_F09","MGH209","predysfunctional3"
"MGH209_P4_G05","MGH209","predysfunctional3"
"MGH225_P1_B02","MGH225","naive2"
"MGH225_P1_B10","MGH225","cytotoxic1"
"MGH225_P1_D11","MGH225","predysfunctional3"
"MGH225_P1_E05","MGH225","predysfunctional3"
"MGH225_P1_F05","MGH225","cytotoxic1"
"MGH225_P1_G07","MGH225","predysfunctional3"
"MGH225_P1_G10","MGH225","cytotoxic1"
"MGH225_P2_C02","MGH225","predysfunctional3"
"MGH225_P2_C05","MGH225","predysfunctional3"
"MGH225_P2_C10","MGH225","cytotoxic1"
"MGH225_P2_F07","MGH225","cytotoxic1"
"MGH225_P2_G07","MGH225","predysfunctional3"
"MGH225_P2_H06","MGH225","cytotoxic1"
"MGH225_P2_H08","MGH225","cytotoxic1"
"MGH225_P5_B04","MGH225","cytotoxic1"
"MGH225_P5_C08","MGH225","cytotoxic1"
"MGH225_P5_D12","MGH225","cytotoxic1"
"MGH225_P3_B08","MGH225","predysfunctional3"
"MGH225_P3_C04","MGH225","predysfunctional3"
"MGH225_P4_B06","MGH225","predysfunctional3"
"MGH225_P4_C09","MGH225","naive2"
"MGH225_P4_D09","MGH225","predysfunctional3"
"MGH225_P4_E08","MGH225","predysfunctional3"
"MGH225_P4_E09","MGH225","predysfunctional3"
"MGH225_P4_E11","MGH225","naive2"
"MGH225_P4_F10","MGH225","dysfunctional4"
"MGH225_P8_B06","MGH225","naive2"
"MGH225_P8_F07","MGH225","dysfunctional4"
"MGH225_P8_H02","MGH225","cytotoxic1"
"MGH225_P6_A04","MGH225","cytotoxic1"
"MGH225_P6_E10","MGH225","predysfunctional3"
"E_42_P4_B11_E42_CD4.CD8._P3P4P5P6","E42","naive2"
"E_42_P4_E09_E42_CD4.CD8._P3P4P5P6","E42","predysfunctional3"
"E_42_P4_F05_E42_CD4.CD8._P3P4P5P6","E42","predysfunctional3"
"E_42_P5_A02_E42_CD4.CD8._P3P4P5P6","E42","predysfunctional3"
"E_42_P5_C09_E42_CD4.CD8._P3P4P5P6","E42","predysfunctional3"
"E_42_P5_G06_E42_CD4.CD8._P3P4P5P6","E42","cytotoxic1"
"E_42_P6_B07_E42_CD4.CD8._P3P4P5P6","E42","cytotoxic1"
"E_42_P6_C08_E42_CD4.CD8._P3P4P5P6","E42","predysfunctional3"
"E_42_P6_C10_E42_CD4.CD8._P3P4P5P6","E42","naive2"
"E_42_P6_D02_E42_CD4.CD8._P3P4P5P6","E42","predysfunctional3"
"E_42_P6_F06_E42_CD4.CD8._P3P4P5P6","E42","predysfunctional3"
"E_42_P6_F07_E42_CD4.CD8._P3P4P5P6","E42","cytotoxic1"
"E_42_P6_G08_E42_CD4.CD8._P3P4P5P6","E42","predysfunctional3"
"E48_P1_B02_E48.1_CD4.CD8._P1P2P3P4","E48.1","dysfunctional4"
"E48_P1_H03_E48.1_CD4.CD8._P1P2P3P4","E48.1","predysfunctional3"
"E48_P1_H10_E48.1_CD4.CD8._P1P2P3P4","E48.1","cytotoxic1"
"E48_P2_D02_E48.1_CD4.CD8._P1P2P3P4","E48.1","predysfunctional3"
"E48_P2_D10_E48.1_CD4.CD8._P1P2P3P4","E48.1","cytotoxic1"
"E48_P4_B10_E48.1_CD4.CD8._P1P2P3P4","E48.1","dysfunctional4"
"E48_P4_D01_E48.1_CD4.CD8._P1P2P3P4","E48.1","predysfunctional3"
"E48_P4_D09_E48.1_CD4.CD8._P1P2P3P4","E48.1","cytotoxic1"
"E60_P1_B11_E48.2_CD4.CD8._P1P2","E48.2","predysfunctional3"
